Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,+/-
Langston Galloway,NYK,24,46,22,24,24,2.7,6.6,41.7,0.9,2.5,37.1,1.1,1.4,80,0.5,2.9,3.4,2.2,0.7,0.8,0.2,2,1,0,7.5,-0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Nance Jr.,LAL,23,37,9,28,20.5,2.7,5,54.1,0,0.1,33.3,0.5,0.8,71.4,1.5,3.5,5,0.6,0.6,0.9,0.3,1.9,3,0,6,-3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavoy Allen,IND,27,43,22,21,21.6,2.6,5.2,49.3,0,0,0,0.4,0.7,57.1,2.1,3.3,5.4,1,1,0.4,0.5,1.8,2,0,5.5,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,CLE,31,41,30,11,35.7,9.5,19,49.9,1.1,4,28.8,4.9,6.8,71.1,1.2,6,7.3,6.2,3.2,1.4,0.7,1.9,15,0,25,7.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro Barbosa,GSW,33,31,28,3,14.4,2.6,5.8,45.6,0.6,1.7,38.5,0.7,0.8,84,0.3,1.1,1.4,1.5,1,0.9,0.2,1.6,0,0,6.6,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzo Brown,DET,25,6,1,5,9.2,1.2,3.8,30.4,0.2,1.2,14.3,0.5,0.7,75,0,1.2,1.2,1.8,1.3,0.5,0,0.5,0,0,3,-4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lou Amundson,NYK,33,18,8,10,7.7,0.9,1.9,45.7,0,0,0,0.5,1,50,0.7,1.3,2,0.4,0.3,0.3,0.2,1.7,0,0,2.3,-0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lou Williams,LAL,29,44,9,35,29.2,4.4,10.8,40.8,1.6,4.8,33.5,5.1,6.2,83.1,0.4,2.3,2.7,2.7,1.6,1,0.3,1.8,0,0,15.5,-8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luc Mbah a Moute,LAC,29,41,27,14,15.1,1.1,2.5,44.2,0.2,0.6,37.5,0.4,0.7,60.7,0.9,1.5,2.5,0.3,0.4,0.4,0.3,1.3,0,0,2.9,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Nogueira,TOR,23,14,7,7,8.1,1.2,1.6,73.9,0,0.1,0,0.3,0.5,57.1,0.5,1.1,1.6,0.2,0.3,0.5,0.3,1.1,0,0,2.7,-0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Montero,POR,23,7,2,5,3.3,0.7,1.9,38.5,0.1,0.7,20,0.3,0.3,100,0,0.3,0.3,0.1,0.3,0,0,0.1,0,0,1.9,-0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Scola,TOR,36,43,28,15,23.5,4.2,9.1,46.4,0.7,1.7,43.8,1,1.2,79.2,1.4,4.2,5.6,0.8,0.9,0.6,0.4,2.5,2,0,10.1,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Babbitt,NOP,27,21,8,13,14.3,1.3,3.5,37,0.8,2.4,31.4,0.4,0.5,72.7,0.2,2.3,2.5,0.5,0.2,0,0.1,1.8,0,0,3.7,-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luol Deng,MIA,31,37,20,17,31.2,3.6,8.5,42.2,1.2,3.5,35.4,1.5,1.9,78.9,0.9,3.8,4.7,1.5,0.9,0.9,0.3,1.5,1,0,9.9,-2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manu Ginobili,SAS,38,38,33,5,19.8,3.7,8,46.9,1.2,3.2,38.3,1.6,2,80.3,0.6,2.4,2.9,3.4,1.7,1.1,0.2,1.6,0,0,10.3,7.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Gasol,MEM,31,45,25,20,35,6.3,13.7,45.6,0,0.1,66.7,4.1,4.9,83.6,1.2,6,7.2,3.8,2.4,0.9,1.3,2.8,9,1,16.7,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelo Huertas,LAL,33,27,2,25,11.8,1.1,2.9,40.3,0.3,0.9,29.2,0.2,0.2,100,0.3,0.9,1.3,2.5,1.2,0.5,0.1,1.2,0,0,2.8,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Gortat,WAS,32,35,15,20,31.8,5.8,10.9,53,0,0,0,2,2.7,74.7,2.9,7,9.9,1.6,1.9,0.7,1.3,2.5,20,0,13.6,-0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Belinelli,SAC,30,43,20,23,25.6,3.7,9.5,38.6,1.5,4.6,31.7,2.1,2.4,85.6,0.1,1.7,1.8,2,1.3,0.5,0,1.5,0,0,10.8,-2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Morris,DET,26,43,22,21,36.4,5.1,11.9,42.6,1.1,3.3,31.9,2.8,3.7,77.2,1.3,4,5.3,2.1,1.8,0.9,0.3,2.1,3,0,14,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Smart,BOS,22,23,11,12,26.8,3,9,33.3,0.7,3.8,19.5,2,2.7,71.4,1.5,3,4.5,3.1,1.3,1.6,0.3,3,1,1,8.7,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Thornton,WAS,29,38,20,18,19.6,4,9.7,41.4,1.6,4.6,35.2,1.1,1.3,87.5,0.6,1.8,2.5,1.4,0.8,0.8,0,1.5,0,0,10.7,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Chalmers,MIA,30,42,25,17,22.3,3,7.1,41.8,0.8,2.6,31.8,3.5,4.2,82,0.3,2.2,2.5,3.7,1.9,1.4,0.2,3,0,0,10.3,1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Hezonja,ORL,21,39,18,21,13.7,1.6,3.8,40.9,0.6,1.6,35.9,0.7,0.8,93.3,0.4,1.3,1.6,1,1.1,0.2,0.1,1.2,0,0,4.4,-0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markel Brown,BKN,24,27,3,24,10.9,0.7,2.8,26.3,0.3,1.4,21.1,0.7,0.9,76,0.1,1.1,1.3,1,0.4,0.3,0.1,1.3,0,0,2.5,-2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markieff Morris,WAS,26,28,8,20,22.8,4.1,10.9,38.2,0.6,2,29.8,1.4,1.9,71.7,1.1,3.8,4.8,1.9,2.1,0.7,0.3,2.7,0,0,10.3,-3.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marreese Speights,GSW,28,35,32,3,10.5,2.1,5.6,37.1,0.1,0.3,25,1.2,1.5,79.2,1,2,3,0.6,1,0.2,0.3,1.5,1,0,5.5,-1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Williams,CHA,30,44,21,23,29.4,3.3,8,40.9,1.5,4.2,36,1.4,1.5,91.2,1.5,5.2,6.7,1.4,0.7,0.6,1,1.6,7,0,9.5,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Plumlee,POR,26,46,20,26,26.1,3.4,6.7,50.3,0,0,0,2.5,4.1,62.2,2.7,5.1,7.8,2.8,2,0.8,0.9,3.1,12,0,9.3,-0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Barnes,MEM,36,42,24,18,26.7,3.2,7.9,41.1,1.4,4.3,33.5,1.2,1.5,82,1.1,4,5.1,1.7,1.3,1.2,0.7,3.1,3,0,9.1,-1.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Bonner,SAS,36,18,17,1,5.9,0.8,1.6,51.7,0.4,0.9,50,0.1,0.1,50,0.2,0.8,0.9,0.3,0.1,0.3,0,0.3,0,0,2.2,1.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Dellavedova,CLE,25,41,30,11,27.1,3,7.1,42.8,1.3,3.1,43,0.8,0.9,89.2,0.5,1.9,2.4,4.8,1.5,0.7,0.1,2.3,1,0,8.2,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Harkless,POR,23,46,20,26,17.2,2,4.3,45.5,0.4,1.6,26.4,0.7,1.2,57.4,1,2.1,3.1,0.8,0.9,0.5,0.3,1.2,1,0,5,-1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metta World Peace,LAL,36,19,3,16,17.5,1.6,5.1,31.3,0.9,2.4,37,0.8,1.2,69.6,0.5,2,2.5,0.9,0.4,0.6,0.5,1.8,0,0,4.9,-0.6
